Base_Model,Ablation,Task,Performance,singular
0,0,Pronoun,0.745,1
0,0,Pronoun,0.735,1
0,0,Pronoun,0.725,1
0,1,Pronoun,0.71,1
0,1,Pronoun,0.69,1
0,1,Pronoun,0.6799999999999999,1
0,0,Antecedent,0.09499999999999997,1
0,0,Antecedent,0.04500000000000004,1
0,0,Antecedent,0.125,1
0,1,Antecedent,0.09999999999999998,1
0,1,Antecedent,0.030000000000000027,1
0,1,Antecedent,0.05499999999999994,1
1,0,Pronoun,0.735,1
1,0,Pronoun,0.745,1
1,0,Pronoun,0.725,1
1,1,Pronoun,0.69,1
1,1,Pronoun,0.71,1
1,1,Pronoun,0.6799999999999999,1
1,0,Antecedent,0.6950000000000001,1
1,0,Antecedent,0.13,1
1,0,Antecedent,0.43500000000000005,1
1,1,Antecedent,0.1449999999999999,1
1,1,Antecedent,0.030000000000000027,1
1,1,Antecedent,0.20499999999999996,1
2,0,Pronoun,0.725,1
2,0,Pronoun,0.73,1
2,0,Pronoun,0.735,1
2,1,Pronoun,0.7050000000000001,1
2,1,Pronoun,0.685,1
2,1,Pronoun,0.73,1
2,0,Antecedent,0.15500000000000003,1
2,0,Antecedent,0.5449999999999999,1
2,0,Antecedent,0.47,1
2,1,Antecedent,-0.06999999999999995,1
2,1,Antecedent,0.09499999999999997,1
2,1,Antecedent,0.020000000000000018,1
0,0,Pronoun,0.75,0
0,0,Pronoun,0.75,0
0,0,Pronoun,0.75,0
0,1,Pronoun,0.75,0
0,1,Pronoun,0.75,0
0,1,Pronoun,0.71,0
0,0,Antecedent,0.030000000000000027,0
0,0,Antecedent,0.0,0
0,0,Antecedent,0.0,0
0,1,Antecedent,0.565,0
0,1,Antecedent,0.28500000000000003,0
0,1,Antecedent,0.35,0
1,0,Pronoun,0.75,0
1,0,Pronoun,0.71,0
1,0,Pronoun,0.745,0
1,1,Pronoun,0.75,0
1,1,Pronoun,0.75,0
1,1,Pronoun,0.75,0
1,0,Antecedent,0.655,0
1,0,Antecedent,0.75,0
1,0,Antecedent,0.75,0
1,1,Antecedent,0.08499999999999996,0
1,1,Antecedent,0.025000000000000022,0
1,1,Antecedent,0.0,0
2,0,Pronoun,0.75,0
2,0,Pronoun,0.75,0
2,0,Pronoun,0.71,0
2,1,Pronoun,0.75,0
2,1,Pronoun,0.75,0
2,1,Pronoun,0.75,0
2,0,Antecedent,0.7150000000000001,0
2,0,Antecedent,0.75,0
2,0,Antecedent,0.745,0
2,1,Antecedent,0.7050000000000001,0
2,1,Antecedent,0.745,0
2,1,Antecedent,0.725,0
